BAND,OUTPUT,INPUT,LOCATION,CALLSIGN,AREA,TONE,CTCSS_IN,CTCSS_OUT,DCS,DCS_CODE,DTMF,REMOTE_BASE,SNP,AUTOPATCH,PATCH_SEQ,LINKED,LINK_FREQ,WIDE_AREA,LATITUDE,LONGITUDE,NOTES,LATITUDE_DDMMSS,LONGITUDE_DDDMMSS,SITE_NAME,COVERAGE_AREA
440,448.5,443.5,Kolob Peak,K7WS,Southwest,N,,,N,,N,N,N,N,,N,,N,37.4522,-113.0389,C,372708,1130220,Kolob Peak,SG
144,146.68,146.08,New Harmony,WA7GTU,Southwest,Y,100,,N,,N,N,N,N,,N,,N,37.48,-113.3081,O,372848,1131829,New Harmony,Southwest
144,146.74,146.14,Enterprise,NR7K,Southwest,Y,100,,N,,N,N,N,N,,N,,Y,37.5078,-113.7942,O 100.0,373028,1134739,Flattop Mtn,SG
144,147.18,147.78,Duck Creek,N7SGV,Southwest,Y,127.3,,N,,N,N,N,N,,N,,N,37.5253,-112.665,O,373131,1123954,Duck Creek,
440,447.325,442.325,Duck Creek,N7SGV,Southwest,Y,127.3,,N,,N,N,N,N,,N,,N,37.5253,-112.665,O,373131,1123954,Duck Creek,
902,927.6625,902.6625,Duck Creek,N7SGV,Southwest,N, ,,Y,606,N,N,N,N,,N,,N,37.5253,-112.665,O,373131,1123954,Duck Creek,
440,449.5,444.5,Cedar City,WA7GTU,Southwest,Y,100,,N,,N,Y,N,N,,N,,N,37.5661,-113.3033,O Rb2Mtr (Iron Mtn.),373358,1131812,Iron Mtn.,IRON
144,146.8,146.2,Cedar City,WV7H,Southwest,Y,100,,N,,N,N,N,N,,Y,146.94,Y,37.5917,-112.8658,O X L146.94,373530,1125157,Blowhard Mtn.,SW/CEDAR
440,448.65,443.65,Cedar City,KB6BOB,Southwest,N,,,N,,N,Y,N,N,,Y,Cactus,Y,37.5917,-112.8658,C X Rb L(Cactus),373530,1125157,Blowhard,SG/SW/SUT
144,146.98,146.38,Cedar City,N7KM,Southwest,Y,100,,N,,N,N,N,N,,N,,N,37.6442,-113.3742,O,373839,1132227,Iron Mtn.,CEDAR
440,448.8,443.8,Cedar City,K7JH,Southwest,Y,100,,N,,N,Y,N,N,,N,,N,37.6442,-113.3739,O 100.0,373839,1132226,Iron Mtn.,IRON
144,146.76,146.16,Cedar City,K7JH,Southwest,Y,123,,N,,N,N,N,Y,,N,,Y,37.645,-113.3733,O Ca X,373842,1132224,Iron Mtn.,CEDAR
440,448.4,443.4,Cedar City,WA7GTU,Southwest,Y,100,,N,,N,Y,N,N,,N,,N,37.6453,-113.3733,O  Rb HF ,373843,1132224,WA7GTU QTH,CEDAR
144,147.06,147.66,Cedar City,N7AKK,Southwest,N,,,N,,N,N,N,N,,N,,N,37.7,-113.0669,O,374200,1130401,Cedar City Hospital,CEDAR 
144,145.47,144.87,Cedar City,WV7H,Southwest,N,,,N,,N,N,N,N,,N,,N,37.7106,-113.0558,O,374238,1130321,Cedar City,CEDAR
144,145.15,144.55,Cedar City,WR7AAA,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,37.7256,-113.0681,O D-Star L447.950/1299.25,374332,1130405,WA7GTU QTH, 
440,447.95,442.95,Cedar City,WR7AAA,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,37.7256,-113.0681,O D-Star L145.150/1299.25,374332,1130405,WA7GTU QTH, 
440,449.9,444.9,Cedar City,WA7GTU,Southwest,Y,100,,N,,N,N,N,N,,N,,N,37.7256,-113.0681,O ECHO/IRLP 3574,374332,1130405,Cedar City,CEDAR
1240,1299.25,1299.25,Cedar City,WR7AAA,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,37.7256,-113.0681,O D-Star L145.150/447.950,374332,1130405,WA7GTU QTH, 
440,448.1,443.1,Cedar City,N7DZP,Southwest,N,,,N,,N,N,N,N,,N,,N,37.7275,-113.0692,O,374339,1130409,Cedar City,Southwest
144,146.61,146.01,Monticello,K7SDC,Southeast,Y,88.5,,N,,N,Y,N,Y,,Y,147.32,Y,37.8392,-109.4617,OXCaRb 88.5 L147.32,375021,1092742,Abajo Peak,ABAJO
220,223.94,222.34,Monticello,K7QEQ,Southeast,N,,,N,,N,N,N,N,,N,,Y,37.8392,-109.4617,C L(Cactus),375021,1092742,Abajo Peak,ABAJO
220,223.96,222.36,Monticello,WX7Y,Southeast,N,,,N,,N,N,N,N,,Y,?,Y,37.8392,-109.4617,O L,375021,1092742,Abajo Peak,ABAJO
440,447.4,442.4,Monticello,K7QEQ,Southeast,N,,,N,,N,N,N,N,,Y,Cactus,Y,37.8392,-109.4617,C X L(Cactus),375021,1092742,Abajo Peak,ABAJO
440,447.1,442.1,Monticello,N0NHJ,Southeast,Y,107.2,,N,,N,N,N,N,,Y,GMRA,Y,37.84,-109.4611,O X 107.2 LK GMRA,375024,1092740,Abajo Peak,South East
440,447.25,442.25,Monticello,KB0YZI,SouthEast,N,,,N,,N,N,N,N,,N,,N,37.84,-109.4614,O D-Star,375024,1092741,Abajo Peak,South East
144,146.92,146.32,Boulder,KE7ZDV,South East,N,,,N,,N,N,N,N,,N,,N,37.9161,-111.4292,O,375458,1112545,Boulder,SE
144,147.16,147.76,Panguitch,N7NKK,Southwest,Y,100,,N,,N,N,N,N,,N,,Y,38.02,-112.2164,O X 100.0,380112,1121259,Mt Dutton,GC
144,147.08,147.68,Hanksville,K7SDC,Southeast,Y,136.5,,N,,N,Y,N,Y,,Y,147.32,Y,38.0725,-110.7947,OXCaRb136.5 L147.32,380421,1104741,Mt. Ellen (Henry Mts.),HENRY
440,449.925,444.925,Cedar City,WA7GTU,Southwest,Y,100,,N,,N,N,N,N,,N,,N,38.1,-113.0147,O Rb 2M,380600,1130053,Rowberry,CEDAR
144,146.94,146.34,Milford,WR7AAA,Southwest,Y,100,,N,,N,N,N,N,,Y,Intertie,Y,38.5203,-113.2872,O X 100.0 L147.18,383113,1131714,Frisco Peak,FRISCO
440,448.675,443.675,Milford,K7JL,Southwest,N,,,N,,N,N,N,N,,Y,Cactus,Y,38.5203,-113.2872,C X L(Cactus),383113,1131714,Frisco Peak,FRISCO
144,146.76,146.16,Moab,K7QEQ,Southeast,Y,88.5,,N,,N,Y,N,Y,,Y,147.32,Y,38.5286,-109.3247,OXCaRb 88.5 L147.32,383143,1091929,Bald Mesa,BALD
440,449.1,444.1,Moab,K7QEQ,Southeast,N,,,N,,N,N,N,N,,Y,Cactus,Y,38.5286,-109.3247,C X L(Cactus),383143,1091929,Bald Mesa,BALD
144,146.84,146.24,Richfield,WA7VHF,Wasatch Front,Y,100,,N,,N,N,N,N,,N,Intertie,Y,38.5364,-112.0728,O X E 100.0,383211,1120422,Monroe Peak,MONROE
144,146.64,146.04,Monroe,W7JVN,Central,Y,100,,N,,N,N,N,Y,,Y,146.72,N,38.5367,-112.0725,O A-911 100.0 L146.72,383212,1120421,Monroe Peak,MONROE
440,447.45,442.45,East Monroe,W7DHH,Central,Y,114.8,,N,,N,N,N,N,,Y,433.65,Y,38.5367,-112.0725,O X 114.8 L146.860,383212,1120421,Monroe Peak,MONROE
