BAND,OUTPUT,INPUT,LOCATION,CALLSIGN,AREA,TONE,CTCSS_IN,CTCSS_OUT,DCS,DCS_CODE,DTMF,REMOTE_BASE,SNP,AUTOPATCH,PATCH_SEQ,LINKED,LINK_FREQ,WIDE_AREA,LATITUDE,LONGITUDE,NOTES,LATITUDE_DDMMSS,LONGITUDE_DDDMMSS,SITE_NAME,COVERAGE_AREA
440,448.325,443.325,Provo,K7UCS,Wasatch Front,Y,103.5,,N,,N,N,N,N,,N,,Y,40.2608,-111.9281,O X 103.5,401539,1115541,Lake Mtn Co site south end,UTCM
440,449.675,444.675,Provo,K7UCS,Wasatch Front,Y,173.8,,N,,N,N,N,Y,,Y,448.325,N,40.2608,-111.9281,O A 173.8,401539,1115541,Lake Mtn Co site south end,UTCM
1240,1284.5,1272.5,Provo,W7OAD,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.2608,-111.9281,O D-Star,401539,1115541,Lake Mtn,WF
220,224.7,223.1,Provo,KE7AU,Wasatch Front,Y,107.2,,N,,N,N,N,N,,N,,Y,40.2617,-111.9278,O 107.2 X,401542,1115540,Lake Mtn,UTCO/SLC/CDRVLY
440,449.475,444.475,Provo,WA7GIE,Wasatch Front,Y,100,,N,,N,N,N,N,,Y,449.425,Y,40.2617,-111.9278,O X L 449.425 IRLP,401542,1115540,Lake Mtn,UTCM
440,449.2,444.2,Provo,WA7FFM,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.2664,-111.9367,O,401559,1115612,Lake Mtn Citadel site,UTCM
220,224.64,223.04,Provo,N7IMF,Wasatch Front,Y,156.7,,N,,N,N,N,N,,Y,447.6,Y,40.2781,-111.9336,C X I ,401641,1115601,Lake Mtn,WF
440,447.875,442.875,Lehi,KA7EGC,Wasatch Front,Y,100,,N,,N,N,N,N,,Y,449.175,N,40.2781,-111.9336,O 131.8 L449.175,401641,1115601,Lake Mtn,UTCM / SLM
440,448.225,443.225,Provo,K6GEK,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.2781,-111.9336,O X,401641,1115601,Lake Mtn,UTCM
440,448.7,443.7,Lake Mtn,N7IMF,Wasatch Front,Y,114.8,,N,,N,N,N,N,,N,,Y,40.2781,-111.9336,C X I 114.8 ,401641,1115601,Lake Mtn,UTCM/SLM
144,146.76,146.16,Provo,W7SP,Wasatch Front,N,,,N,,N,N,N,Y,,N,,Y,40.2822,-111.9361,O E Ca X,401656,1115610,Lake Mtn State site north end,UTCO/SLC/CDRVLY
902,927.6125,902.6125,Salt Lake,KE7WKS,Wasatch Front,Y,151.4,,N,,N,N,N,N,,N,,Y,40.2822,-111.9361,O,401656,1115610,Lake Mtn,WF
144,147.08,147.68,Salt Lake,WX7Y,Wasatch Front,Y,77,,N,,N,N,N,N,,Y,147.32,Y,40.2825,-111.9369,O 77.0 L147.32,401657,1115613,Lake Mtn,WFM
144,146.78,146.18,Orem,K7UVA,Wasatch Front,Y,100,,N,,N,N,N,Y,,N,,Y,40.2828,-111.9364,O 100.0,401658,1115611,Lake Mtn north end,UTCM
220,224.42,222.82,American Fork,W7WJC,Wasatch Front,Y,156.7,,N,,N,N,N,N,,N,,N,40.2828,-111.9364,O,401658,1115611,Lake Mtn FM station north end,UTCM/SLM
144,145.23,144.63,Provo,K7UCS,Wasatch Front,Y,131.8,,N,,N,N,N,N,,N,,N,40.2831,-111.9375,O ARES 131.8,401659,1115615,Lake Mtn Co site south end,UTCM
220,224.56,222.96,Lehi,KB7M,Wasatch Front,Y,100,,N,,N,N,N,N,,N,448.2,Y,40.2831,-111.9375,O X 123.0 HF Remote,401659,1115615,North Lake Mtn,SLM
440,448.2,443.2,Lehi,KB7M,Wasatch Front,Y,100,,N,,N,N,N,N,,N,224.56,Y,40.2831,-111.9375,O X 123.0,401659,1115615,North Lake Mtn BLM Bldg,SLM
440,449.975,444.975,Lake Mtn,K7UCS,Wasatch Front,Y,131.8,,N,,N,N,N,N,,N,,Y,40.2831,-111.9375,O X 131.8,401659,1115615,Lake Mtn,UTCO/TOWER
144,147.22,147.82,Provo Edgemont,KR7D,Wasatch Front,N,,,N,,N,N,N,Y,,N,145.25,N,40.2897,-111.6547,O A,401723,1113917,Provo Edgemont Stake Ctr,UTCM
440,447.675,442.675,Sarotoga Springs,KF7RCZ,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.2911,-111.8797,O 100.0,401728,1115247,KF7RCZ QTH Saratoga Springs,UTCM
440,447.6,442.6,Lehi,KD7RBR,Wasatch Front,Y,162.2,,N,,N,N,N,N,,N,,N,40.2983,-111.7192,O,401754,1114309,Pt of Mtn,UTCM
144,146.92,146.32,Roosevelt,W7BYU,Northeast,Y,136.5,,N,,N,N,N,N,,N,,N,40.3028,-109.9883,O,401810,1095918,Roosevelt,VERNAL
440,449.575,444.575,Orem,N7FOC,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.3103,-111.67,O  Temp Portable,401837,1114012,Orem,UTCM
440,449.25,444.25,Eagle Mtn,WD7N,Wasatch Front,Y,110.9,,N,,N,N,N,N,,N,,N,40.3128,-112.0075,O 110.9,401846,1120027,Eagle Mtn.,UTCM
440,447.275,442.275,Orem,K7UCA,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.3139,-111.7128,ARES 100.0,401850,1114246,Timpanogos Hospital,WF
144,145.47,144.87,Orem,K7UVA,Wasatch Front,Y,100,,N,,N,N,N,Y,,N,,N,40.3189,-111.6739,O A 100.0,401908,1114026,QTH AC7DM,UTCM
440,449.7,444.7,Cedar Fort,KO7R,Wasatch Front,Y,127.3,,N,,N,N,N,N,,N,,N,40.3317,-112.115,O 127.3,401954,1120654,Internet Hill,Cedar Valley
144,147.1,147.7,Vernal,W7BAR,Northeast,Y,136.5,,N,,N,N,N,Y,,N,,Y,40.3533,-109.1458,O E X 136.5,402112,1090845,Blue Mtn.,VERNAL
220,223.9,222.3,Vernal,WX7Y,Northeast,N,,,N,,N,N,N,N,,N,,N,40.3533,-109.1458,O L,402112,1090845,Blue Mtn.,VERNAL
440,449.7,444.7,Vernal,W7BYU,Northeast,Y,136.5,,N,,N,N,N,N,,N,,N,40.3564,-109.1458,"O X 136.5, C4FM",402123,1090845,Vernal,VERNAL
144,146.74,146.14,Altamont,WB7CBS,Northeast,Y,100,,N,,N,N,N,Y,,N,,N,40.3589,-110.2872,O A 100.0 136.5,402132,1101714,Altamont,Vernal
144,147.28,147.88,Altamont,AD7ZW,Northeast,Y,107.2,,N,,N,N,N,N,,N,,N,40.3597,-110.2839,O 107.2,402135,1101702,Swazey Store Altamont,Northeast
440,449.775,444.775,Pleasant Grove,K8BKT,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.3608,-111.7083,O,402139,1114230,Plesant Grove,UTCM
220,223.88,222.28,Pleasant Grove,KB7YOT,Wasatch Front,Y,156.7,,N,,N,N,N,N,,N,,N,40.3653,-111.7281,O,402155,1114341,Pleasant Grove,WF
144,145.25,144.65,Sundance,KR7D,Wasatch Front,N,,,N,,N,N,N,N,,N,147.22,N,40.3678,-111.5928,O,402204,1113534,Sundance,UTCM
440,449.325,444.325,Pleasant Grove,N7UEO,Wasatch Front,Y,114.8,,N,,N,N,N,N,,N,,N,40.3731,-111.7228,O 114.8,402223,1114322,Pleasant Grove,UTCM
220,224.88,223.28,Orem,N7IMF,Wasatch Front,Y,156.7,,N,,N,N,N,N,,N,,N,40.3786,-111.7828,O,402243,1114658,Orem N7IMF QTH,WF
440,447.975,442.975,Provo,NT3ST,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.3858,-111.7833,O D-Star,402309,1114700,KD7BBC QTH,
440,447.05,442.05,Saratoga Springs,KC7WST,Wasatch Front,Y,100,,N, ,N,N,N,N,,N,,N,40.3886,-111.9111,O IRLP ,402319,1115440,KC7WSU QTH,
902,927.3125,902.3125,Saratoga Springs,KE7WKS,Wasatch Front,Y,151.4,,N, ,N,N,N,N,,N,,N,40.3892,-111.9169,O,402321,1115501,KE7WKS QTH,WF
440,448.9,443.9,Provo,KF7OY,Provo,N,,,N,,N,N,N,N,,N,,N,40.3989,-111.7411,Portable,402356,1114428,KF7OY QTH,UTCM
440,449.175,444.175,American Fork,KA7EGC,Wasatch Front,Y,131.8,,N,,N,N,N,N,,N,447.875,N,40.3989,-111.7986,O 131.8 L447.875,402356,1114755,28 West 1080 North Am Fork,UTCM
440,448.875,443.875,Lehi,WB7RPF,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.41,-111.8353,C X ,402436,1115007,WB7RPF QTH,UTCM
440,449.25,444.25,Lehi,WB7RPF,Wasatch Front,Y,141.3,,N,,N,N,Y,N,,N,,N,40.41,-111.8353,O 141.3,402436,1115007,Lehi,UTCM
440,447.725,442.725,Highland  ,KX7VC,Wasatch Front,Y,167.9,,N,,N,N,N,N,,N,,N,40.4333,-111.7897,O  Allstar,402600,1114723,KX7VC QTH,UTCM
440,448.625,443.625,Salt Lake,WA7GIE,Wasatch Front,N,,,N,,N,Y,N,N,,Y,Cactus,Y,40.4353,-112.0058,C Rb X L(Cactus),402607,1120021,Flat Top,SLM
144,147.3,147.9,Tooele,W7EO,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.46,-112.41,O 100.0,402736,1122436,South Mountain,WFM
440,449.35,444.35,Tooele,W7EO,West,Y,100,,N,,N,N,N,N,,N,,N,40.46,-112.4094,O 100.0,402736,1122434,South Mtn.,TV
440,449.375,444.375,Alpine,N7XHO,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.4608,-111.7631,O,402739,1114547,Alpine,UTCM
440,448.35,443.35,Draper,N7GAD,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.4625,-111.9011,O E Rb ,402745,1115404,South Mtn,UTCM/SLM
220,224.9,223.3,Pt of Mtn,N7IMF,Wasatch Front,Y,156.7,,N,,N,N,,,,,,,40.4644,-111.8917,,402752,1115330,Pt of Mtn,
440,447.9625,442.9625,Salt Lake,W7XDX,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.4669,-112.1728,O DMR,402801,1121022,Butterfield Peak,WF
144,145.45,144.85,Salt Lake,WA7UAH,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.4672,-112.1708,O X E 100.0,402802,1121015,Butterfield Peak,WFM
144,147.14,147.74,Salt Lake,K7MLA,Wasatch Front,Y,127.3,,N,,N,N,N,N,,Y,147.24,Y,40.4672,-112.1708,OXE 127.3 L147.16/24 ,402802,1121015,Butterfield Peak,WFM
440,449.725,444.725,Salt Lake,WA7UAH,Wasatch Front,Y,151.4,,N,,N,N,N,N,,N,,Y,40.4672,-112.1708,E X 151.4,402802,1121015,Butterfield Pk.,WFM
902,927.1125,902.1125,Salt Lake,W7XDX,Wasatch Front,N,,,Y,432,N,N,N,N,,N,,N,40.4672,-112.1708,O DPL 432,402802,1121015,Butterfield Peak ,WF
144,145.19,144.59,Salt Lake,W7IHC,Wasatch Front,Y,123,,N,,N,N,N,N,,N,,N,40.4681,-112.1542,IHC Radio Club 2nd PL 100,402805,1120915,Intermountain Ridge,SLM
440,448.4,443.4,Salt Lake,W7IHC,Wasatch Front,N,,,N,,N,N,N,N,,N,,Y,40.4681,-112.1542,O,402805,1120915,Intermountain Ridge,WF/I80W/TV/WD
440,447.1,442.1,Draper,KG7EGM,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.4808,-111.8367,O 100.0,402851,1115012,Sun Crest Fire Station #122,SLM
440,449.95,444.95,Midway,N7ZOI,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.5,-111.4833,O,403000,1112900,Midway,HEBER
440,449.25,444.25,Riverton,K7MLA,Wasatch Front,N,,,N,,N,N,Y,N,,N,,N,40.5019,-111.9347,O SNP (port Rptr),403007,1115605,Salt Lake,SLM
1240,1286,1274,Salt Lake,AA7XY,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.5067,-111.8681,O,403024,1115205,Salt Lake,SLM
440,447,442,Draper,KE7QGT,Wasatch Front,Y,88.5,,N,,N,N,N,N,,N,,N,40.5247,-111.8625,O,403129,1115145,Draper,WF
440,449.25,444.25,Herriman,KC1F,Wasatch Front,Y,118.8,,N,,N,N,Y,N,,N,,N,40.5339,-112.0317,O,403202,1120154,Herriman High School,WF
144,147.34,147.94,Vernal,KK7EX,Northeast,Y,136.5,,N,,N,N,N,N,,N,,Y,40.5381,-109.6997,O X 136.5,403217,1094159,Little Mtn,Northeast
144,147.18,147.78,Snowbird,K7JL,Wasatch Front,Y,100,,N,,N,N,N,N,,Y,147.12,Y,40.5611,-111.6453,O X E 100.0 L147.12,403340,1113843,Hidden Peak,HW/WSLC
440,448.375,443.375,Sandy,W7ROY,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.5683,-111.8583,O 100.0,403406,1115130,Sandy QTH,SLM
144,147.2,147.8,Midway,N7ZOI,Wasatch Front,Y,88.5,,N,,N,N,N,N,,Y,449.525,N,40.5714,-111.4761,O 88.5 L449.525 Scotts,403417,1112834,Wilson Peak,HEBER
440,447.9,442.9,Salt Lake,WD7SL,Wasatch Front,Y,114.8,,N,,N,Y,N,N,,Y,,Y,40.5725,-112.1386,OXE Rb 114.8 OLRC S Jrd,403421,1120819,Curry Peak,DAVIS/SLC/UTCO
902,927.3875,902.3875,Salt Lake,N7SLC,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.5733,-112.1403,O,403424,1120825,Curry Peak,Salt Lake
440,447.625,442.625,Sandy,KG7FMP,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.5808,-111.8522,O,403451,1115108,1300 East 9400 South Sandy,SLM
144,146.84,146.24,Salt Lake,N7PCE,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.5903,-111.975,O (ARES),403525,1115830,Jordan Valley Hospital,SLM
220,224.78,223.18,Salt Lake,KD0J,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.5903,-111.975,O E 100.0,403525,1115830,Jordan Valley Hospital,SLM
440,447.75,442.75,West Jordan,WD7P,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.5975,-112.0439,O Wires X,403551,1120238,West Jordan,
24000,24192.21,,Salt Lake,N0KGM,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6014,-111.7919,Beacon FSK CW,403605,1114731,N0KGM QTH 8241 S 3675 E,SLM
500,1252,2416,Salt Lake,WA7GIE,Wasatch Front,N,,,N,,N,N,N,N,,N,,Y,40.6136,-112.1869,O ATV FM,403649,1121113,Nelson Peak,SLM
10000,10368.27,,Salt Lake,WA7GIE,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6136,-112.1869,Beacon FSK CW,403649,1121113,Nelson Peak,WF
144,147.38,147.98,Salt Lake,WA7GIE,Wasatch Front,N,,,N,,N,N,N,N,,Y, ,N,40.6139,-112.1856,O Dstar L448.725,403650,1121108,Nelson Peak,WF/I80W/TV/WD
440,433.6,423.6,Nelson Peak,WA7GIE,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.6139,-112.1856,IRLP Lk 449.550,403650,1121108,Nelson Peak,WF
440,448.725,443.725,Salt Lake,WA7GIE,Wasatch Front,N,,,N,,N,N,N,N,,Y, ,N,40.6139,-112.1856,O Dstar L147.380,403650,1121108,Nelson Peak,WF/I80W/TV/WD
440,449,444,Salt Lake,WA7GIE,Wasatch Front,N,,,N,,N,Y,N,N,,Y,Cactus,Y,40.6139,-112.1856,C X Rb L(Cactus),403650,1121108,Nelson Peak,UTCO/SLC/DAVIS
440,449.425,444.425,Salt Lake,WA7GIE,Wasatch Front,Y,100,,N,,N,N,N,N,,Y,449.475,Y,40.6139,-112.1856,O X L 449.475 IRLP 5620,403650,1121108,Nelson Peak,SLM
440,447.525,442.525,Salt Lake,K2NWS,Wasatch Front,Y,107.2,,N,,N,N,N,N,,N,NWS,N,40.6272,-112.0575,O NWS Alerts,403738,1120327,Bacchus,SLM
440,448,443,Salt Lake,K7SLC,Wasatch Front,Y,127.3,,N,,N,N,N,N,,N,,N,40.6272,-112.055,O Portable Trailer,403738,1120318,Trailer,SLM
144,145.27,144.67,Brighton,K7JL,Wasatch Front,Y,100,,N,,N,N,N,N,,Y,Intertie,Y,40.6292,-111.5689,O X E 100.0 L 147.180,403745,1113408,Scotts Hill,HW/WSLC
144,146.62,146.02,Brighton,W7SP,Wasatch Front,N,,,N,,N,N,N,N,,Y,146.62,Y,40.6292,-111.5689,O X L146.62(SLC),403745,1113408,Scott's Hill,HW/i80E
440,449.525,444.525,Brighton,K7JL,Wasatch Front,Y,131.8,,N,,N,N,N,N,,Y,147.2,Y,40.6294,-111.5686,O X 146.2,403746,1113407,Scotts Peak,HW
902,927.5875,902.5875,Salt Lake,W7XDX,Wasatch Front,N, ,,Y,432,N,N,N,N,,N,,N,40.6367,-111.8569,O DPL 432,403812,1115125,W7XDX QTH,WF
440,448.75,443.75,Kamas,WA7GIE,Wasatch Front,N,,,N,,N,N,N,N,,Y,Cactus,N,40.6433,-111.28,O IRLP,403836,1111648,QTH KD7MCI, 
440,449.65,444.65,Salt Lake,W7YDO,Wasatch Front,Y,167.9,,N,,N,N,N,N,,Y, ,N,40.6453,-111.8811,O  167.9 ,403843,1115252,W7YDO QTH,SLM
144,145.35,144.75,Murray,NM7P,Wasatch Front,Y,100,,N,,N,N,N,N,,Y,,N,40.6483,-111.9175,O L Rb HF,403854,1115503,Murray,SLM
440,447.225,442.225,Murray,WA7VHF,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.6483,-111.9175,O 100.0,403854,1115503,5600 South 900 West Murray,
902,927.4125,902.4125,Salt Lake,AA7J,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6508,-112.0061,O,403903,1120022,Salt Lake,Salt Lake
440,447.375,442.375,Draper,AA7XY,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6531,-112.2017,O,403911,1121206,Draper,SLM
1240,1285,1273,Salt Lake,K7OJU,Wasatch Front,Y,88.5,,N,,N,N,N,N,,Y,448.4,Y,40.6531,-112.2017,O 88.5,403911,1121206,Farnsworth Peak,SLM
52,53.11,52.11,Murray,N7HIW,Wasatch Front,N,,,N,,N,N,N,Y,,Y,448.125,N,40.6556,-111.8889,O Ca L448.125,403920,1115320,Murray,SLM
440,448.825,443.825,Murray,N7TGX,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6556,-111.8889,O,403920,1115320,Murray,SLM
440,448.125,443.125,Murray,N7HIW,Wasatch Front,Y,100,,N,,N,N,N,Y,,N,,N,40.6558,-111.915,O Ca,403921,1115454,Murray,SLM
52,53.15,52.15,Salt Lake,KI7DX,Wasatch Front,Y,146.2,,N,,N,N,N,N,,Y,448.15,Y,40.6583,-112.2031,O X 146.2 L 448.150,403930,1121211,Farnsworth (FOX 13),SLCN/UTCON/TV/I80W/SDAVISN
144,146.94,146.34,Salt Lake,K7JL,Wasatch Front,Y,88.5,,N,,N,N,N,N,,N,,Y,40.6583,-112.2031,O X 88.5 Yaesu Fusion,403930,1121211,Farnsworth Peak Fox 13,UTCO/SLC/DAVIS
144,147.12,147.72,Salt Lake,K7JL,Wasatch Front,Y,100,,N,,N,N,N,N,,Y,147.18,Y,40.6583,-112.2031,O X E 100.0 L147.18,403930,1121211,Farnsworth Peak Fox 13,WF/I80W/TV/WD
440,448.15,443.15,Salt Lake,KI7DX,Wasatch Front,Y,127.3,,N,,N,N,N,N,,Y,53.15,Y,40.6583,-112.2031,O X 127.3 L53.150,403930,1121211,Farnsworth Peak (KSTU FOX 13),SLC/UTCO
440,449.15,444.15,Farnsworth Peak,K7JL,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.6583,-112.2031,O X,403930,1121211,Farnsworth Peak,SLM
440,449.5,444.5,Salt Lake,K7JL,Wasatch Front,Y,100,,N,,N,N,N,N,,N, ,Y,40.6583,-112.2031,O E X 100.0 L,403930,1121211,Farnsworth Pk,WF/I80W/TV/WD
902,927.4875,902.4875,Salt Lake,K7JL,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6583,-112.2031,O,403930,1121211,Farnsworth Peak,Salt Lake
500,1265,2425,Salt Lake,WA7GIE,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6592,-112.2022,O ATV FM,403933,1121208,Nelson Peak,WFM
144,145.125,144.525,Salt Lake,KF6RAL,Wasatch Front,N,,,N,,N,N,N,N,,Y, ,N,40.6597,-112.2025,O Dstar,403935,1121209,Farnsworth PK,WF/I80W/TV/WD
144,146.62,146.02,Salt Lake,W7SP,Wasatch Front,N,,,N,,N,N,N,N,,Y,146.62,Y,40.6597,-112.2022,OEX L146.62(Scotts),403935,1121208,Farnsworth Peak KSL 5,WF/TV/I80W/WD
440,448.075,443.075,Salt Lake,KF6RAL,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6597,-112.2025,O D-Star L145.125,403935,1121209,Farnsworth  Peak,WF/I80W/TV/WD
440,449.025,444.025,Salt Lake,WA7X,Wasatch Front,Y,146.2,,N,,N,N,N,Y,,N,,Y,40.6597,-112.2022,O A X 146.2,403935,1121208,Farnsworth Pk,WF/I80W/TV/WD
440,449.1,444.1,Salt Lake,WA7X,Wasatch Front,Y,146.2,,N,,N,N,N,Y,,N,,Y,40.6597,-112.2022,O A X 146.2,403935,1121208,Farnsworth Pk,WF/I80W/TV/WD
1240,1287,1275,Salt Lake,KF6RAL,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6597,-112.2025,O D-Star L145.125/448.075,403935,1121209,Farnsworth  Peak,WF/I80W/TV/WD
1240,1299.25,1299.25,Salt Lake,KF6RAL,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6597,-112.2025,O D-Star L145.125/448.075,403935,1121209,Farnsworth  Peak,WF/I80W/TV/WD
144,145.15,144.55,Murray,KO7SLC,Wasatch Front,N,,,N,,N,N,N,N,,Y,,N,40.6606,-111.8908,O D-Star,403938,1115327,IHC Hospital Murray,SLM
440,447.25,442.25,Salt Lake,KF7JBA,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.6606,-111.8911,O 100.0 X,403938,1115328,Intermountain Medical Center,SLM
440,447.95,442.95,Murray,KO7SLC,Wasatch Front,N,,,N,,N,N,N,N,,Y,,N,40.6606,-111.8908,O D-Star,403938,1115327,IHC Hospital Murray,SLM
1240,1298.75,1298.75,Murray,KO7SLC,Wasatch Front,N,,,N,,N,N,N,N,,Y,,N,40.6606,-111.8908,O D-Star,403938,1115327,IHC Hospital Murray,SLM
440,447.175,442.175,Salt Lake,W7SAR,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.6647,-112.0211,O portable,403953,1120116,Salt Lake,SLM
440,447.575,442.575,Kearns,K7LNP,Wasatch Front,Y,114.8,,N,,N,N,N,N,,N,,N,40.6647,-112.0014,O 114.8         ,403953,1120005,4814 S 4620 W Kearns,SLM
144,146.88,146.28,Salt Lake,KD0J,Wasatch Front,Y,88.5,,N,,N,N,N,N,,N,,N,40.6722,-111.9408,O ARES 88.5,404020,1115627,Salt Lake Community College,SLC/DAVIS
220,223.94,222.34,Salt Lake,KD0J,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.6722,-111.9408,O ARES 100.0,404020,1115627,Salt Lake Community College,SLM
440,449.9,444.9,Salt Lake,KD0J,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.6722,-111.9408,O 100.0,404020,1115627,Salt Lake Community College,SLM
440,448.85,443.85,Salt Lake,W7YDO,Wasatch Front,N,,,N,,N,N,N,N,,N,,Y,40.6756,-112.2022,C X,404032,1121208,Oquirrhs,SLM
144,147.38,147.98,Mirror Lake,WA7GIE,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.6886,-110.9022,O X ,404119,1105408,Bald Mtn Pass Forest Svc site,Mirror Lake
440,447.7,442.7,Salt Lake,KF7YXL,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.6919,-111.8944,O 100.0,404131,1115340,South Salt Lake Fire Station 43,SLM
144,145.37,144.77,Magna,K7MLA,Wasatch Front,N,,,N,,N,N,N,N,,N,,Y,40.6931,-112.0639,O X,404135,1120350,Bishops Storehouse Magna,West Mtn
440,448.475,443.475,Park City,KB7HAF,Wasatch Front,N,,,N,,N,N,N,N,,N,,Y,40.6936,-111.6047,O X,404137,1113617,Murdock Peak,HW
440,448.55,443.55,Salt Lake,W7IHC,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.7142,-112.0017,IHC Radio Club,404251,1120006,IHC - West Valley Lake Park Bl,Salt Lake Valley
144,145.15,144.55,Logan,AC7O,North,N,,,N,,N,N,N,N,,N,,Y,40.7222,-111.8494,O X D-Star,404320,1115058,WA7KMF QTH,LOGAN
144,145.41,144.81,Salt Lake,KE7GHK,Wasatch Front,N,,,N,D125N,N,N,Y,N,,N,,N,40.7331,-111.8022,O 162.2,404359,1114808,Carrigan Ridge,SLM
440,447.5,442.5,Park City,NZ6Z,Wasatch Front,N,,,N,,N,N,N,N,,Y,,N,40.7425,-111.5117,O ,404433,1113042,Quarry Mtn QTH, HW
144,147.04,147.64,Vernal,W7BAR,Northeast,Y,136.5,,N,,N,N,N,N,,Y,147.32,Y,40.7517,-109.4872,O E 136.5 L147.32,404506,1092914,Grizzley Ridge,VERNAL
144,147.2,147.8,Wendover,W7EO,West,Y,100,,N,,N,N,N,N,,Y,146.98,Y,40.7544,-114.0194,O 100.0 L146.98,404516,1140110,Wendover Peak,I80W/WD
440,448.675,443.675,Wendover,WA7GIE,Wasatch Front,N,,,N,,N,Y,N,N,,Y,Cactus,Y,40.7544,-114.0194,C X Rb L(Cactus),404516,1140110,Wendover Peak, 
440,449.55,444.55,Wendover,WA7GIE,Wasatch Front,Y,123,,N,,N,N,N,N,,Y,449.425,Y,40.7544,-114.0194,O X IRLP 100.0,404516,1140110,Wendover Peak, 
440,449.75,444.75,Salt Lake,KA7OEI,Wasatch Front,Y,151.4,,N,,N,N,N,N,,N,,N,40.7622,-111.8917,O E 151.4,404544,1115330,Salt Lake,SLM
440,448.425,443.425,Salt Lake,WD7SL,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.7708,-111.8894,O 100.0,404615,1115322,Downtown SLC,SLM
144,146.74,146.14,Salt Lake City,KD7NX,Wasatch Front,Y,114.8,,N,,N,N,N,N,,N,,N,40.7719,-111.8367,O 114.8,404619,1115012,U of U Hospital,SLM
440,448.1,443.1,U of U Hospital,KD7NX,Wasatch Front,Y,114.8,,N,,N,N,N,N,,N,,N,40.7719,-111.8367,O,404619,1115012,U of U Hospital,SLM/UTCM
144,145.21,144.61,Salt Lake,AA7JR,Wasatch Front,N,,,N,,N,N,N,Y,,N,,N,40.7786,-111.8881,O A,404643,1115317,State Capitol,SLM
144,145.41,144.81,Statewide,W7DES,Wasatch Front,Y,100,,N,,N,N,Y,N,,N,,N,40.7789,-111.8894,O 100 SNP Emerg Svcs,404644,1115322,Statewide,SLM
144,147.06,147.66,Salt Lake,K7CEM,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.7789,-111.8883,O,404644,1115318,State Capitol,SLM 
440,448.05,443.05,Salt Lake,K7CSW,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.7789,-111.9525,O 100.0,404644,1115709,322 No 2200 W Bldg C SLC,SLC/DAVIS
440,448,443,Salt Lake,W7DES,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.7792,-111.8894,O 100.0 IRLP,404645,1115322,Capital,
